,emojis,urls,hashtags,users,words,unique_words,chars,stopwords,punctuations,numerics,upper,title
905,3,1,0,0,4,4,23,0,0,0,3,0
2676,0,0,0,1,56,46,289,27,5,0,0,4
11092,0,0,0,1,6,6,36,2,1,0,0,2
1417,0,0,0,2,11,10,62,3,0,0,0,2
12476,0,1,5,0,15,15,119,2,2,0,0,4
1929,0,0,0,0,45,44,279,12,15,0,1,5
13057,0,0,0,9,37,29,222,10,9,0,1,6
999,0,0,0,1,12,12,76,6,5,0,0,0
1425,0,0,0,1,5,5,24,1,1,0,1,0
5596,2,1,0,1,10,10,67,2,2,0,0,1
5840,0,0,0,2,10,9,61,3,1,0,0,1
1280,0,0,0,1,44,39,270,14,3,1,1,9
3271,0,2,0,4,16,12,79,4,2,0,0,2
5891,0,0,2,1,32,29,171,15,4,0,2,2
5743,0,0,1,0,41,37,243,14,2,0,0,4
2378,0,0,0,1,49,42,242,20,3,1,2,2
6815,1,0,0,1,24,23,114,7,3,0,2,3
7379,2,0,0,2,42,36,205,13,4,3,1,7
11246,2,0,0,3,9,7,46,2,0,0,0,2
10702,0,0,0,2,6,5,30,2,0,0,0,1
3462,0,0,1,6,39,34,289,6,15,0,7,3
10394,0,0,3,3,13,11,94,2,2,0,2,2
5752,0,0,0,2,45,37,262,17,13,0,2,4
1626,0,1,0,1,10,10,52,3,3,0,0,1
1853,0,0,0,1,20,20,108,8,3,0,0,1
8272,0,0,1,1,8,8,55,3,1,0,0,1
9640,0,0,1,2,24,23,132,6,6,1,1,3
7155,0,0,0,4,21,16,106,6,0,1,0,3
6303,0,0,0,2,24,21,118,0,0,0,22,1
3651,2,0,0,3,10,8,46,2,0,0,1,1
10974,0,0,0,1,7,7,44,2,0,0,0,1
12909,0,0,0,3,35,31,184,16,2,0,2,3
4223,0,0,0,1,14,14,82,5,0,0,0,3
5758,0,2,2,0,13,12,96,2,4,0,0,1
9657,0,0,0,1,8,8,45,2,1,0,0,1
7022,0,0,1,2,6,5,40,1,0,0,1,0
12885,0,0,0,3,44,38,239,13,6,1,0,5
11886,1,0,0,1,11,11,57,4,0,0,0,0
3128,0,0,9,3,38,35,293,9,2,0,0,3
12812,2,0,0,1,9,9,50,1,2,0,0,2
9810,1,0,0,1,6,6,38,0,0,0,0,3
971,0,0,0,2,39,35,223,12,5,0,0,8
2699,0,0,1,0,31,23,141,9,3,0,2,5
6199,1,0,0,2,23,18,118,10,2,0,1,4
2139,0,0,0,1,33,28,223,10,4,0,0,2
9517,0,0,0,2,21,21,144,2,9,0,2,8
12209,0,0,0,1,6,6,28,2,0,0,1,0
10229,0,0,0,2,55,42,265,23,6,0,0,10
5241,0,0,0,2,44,41,276,13,6,0,1,2
2022,0,0,0,1,11,11,50,6,4,0,0,0
2456,0,0,0,5,29,24,169,12,1,0,0,1
276,2,0,0,0,40,34,193,22,2,0,0,0
5721,0,0,0,21,53,28,297,12,2,0,0,0
8339,2,3,4,0,37,34,204,12,3,1,1,6
643,0,0,0,1,7,7,27,0,0,0,6,1
1140,0,0,0,1,4,4,27,0,0,0,0,1
6798,0,0,0,0,27,26,134,11,11,0,0,0
9941,0,0,0,1,6,6,34,0,1,0,1,1
10061,0,0,0,2,48,42,267,24,4,0,0,6
418,0,0,0,1,10,10,38,4,0,0,1,3
8989,0,0,0,2,7,6,43,1,0,0,1,1
12111,0,0,0,1,40,31,212,19,6,0,0,5
11873,0,0,0,2,49,43,291,16,2,0,2,4
4577,2,0,0,0,13,13,60,4,0,0,3,2
12157,4,0,0,1,30,29,149,12,0,0,0,1
4264,0,0,0,1,34,33,224,11,6,0,1,4
7955,0,1,2,4,14,11,77,2,1,0,1,2
3876,1,0,0,1,9,9,47,1,2,0,0,3
7473,0,0,0,1,55,45,291,15,15,0,0,7
2087,0,0,0,1,18,17,124,6,5,0,0,2
9264,0,0,0,1,48,43,242,21,3,0,0,6
4818,0,1,11,1,16,16,129,0,0,0,4,3
2055,0,0,0,1,4,4,31,0,1,0,0,1
1894,0,0,0,1,50,46,288,20,11,1,0,5
10883,0,0,0,1,9,9,49,3,2,0,0,1
2933,0,0,1,5,58,41,306,25,5,0,2,3
6342,0,0,0,1,15,15,79,6,3,0,1,1
1244,0,0,0,2,10,9,61,2,1,0,0,1
11804,0,0,0,1,10,9,55,0,2,0,0,1
13010,0,0,0,2,5,4,27,1,1,0,0,0
8109,0,1,1,1,23,22,161,10,0,0,0,0
12037,0,0,0,2,20,18,132,5,5,0,0,3
1946,0,0,0,1,16,16,77,3,3,0,1,9
9563,0,0,0,1,12,12,60,5,0,0,0,1
12255,0,0,0,2,26,23,144,13,1,0,1,3
10753,1,0,0,1,5,5,22,2,0,0,0,0
11832,0,1,0,1,13,13,55,5,0,0,1,1
5365,0,0,1,2,60,46,288,30,3,0,1,4
2733,1,0,0,1,9,9,44,4,1,0,0,0
9436,0,0,0,1,5,5,21,2,0,0,0,1
7969,0,1,0,1,8,8,43,1,1,0,0,5
6658,0,0,0,1,47,39,279,20,33,0,4,6
10397,0,0,0,15,55,31,308,21,4,0,0,1
8830,0,0,0,1,10,10,58,2,1,0,1,1
827,0,0,0,1,36,34,190,14,3,0,1,2
11990,0,0,0,1,20,19,96,10,2,0,0,1
6959,1,1,0,0,4,4,46,1,8,0,0,1
5790,2,0,0,3,10,8,67,4,2,0,0,0
3846,2,0,0,1,24,23,120,8,1,2,2,4
10723,0,0,1,1,19,18,108,7,4,0,2,2
3906,1,1,0,1,19,18,102,6,0,0,1,1
7912,0,0,1,1,52,44,279,21,5,0,4,7
11514,0,0,0,2,13,12,74,4,1,0,0,4
4685,0,0,0,2,10,8,75,4,4,0,0,0
220,3,0,0,1,10,10,40,1,2,0,0,6
4667,0,0,0,1,4,4,17,0,0,0,0,1
3155,0,0,0,1,5,5,24,1,0,0,0,0
10986,0,0,0,1,10,10,53,4,2,0,0,2
9467,0,0,0,50,85,31,462,17,3,0,2,4
11749,0,0,0,1,25,24,137,9,7,0,0,4
5543,0,0,0,2,11,10,60,2,2,0,1,1
7778,0,0,0,2,27,26,148,12,2,0,1,2
450,0,0,1,3,30,21,165,17,2,0,0,1
3587,0,0,0,1,57,50,286,29,8,0,0,4
11374,0,0,4,4,32,25,186,12,2,0,3,4
8929,0,0,0,1,16,14,112,6,1,0,0,3
11646,0,0,0,2,7,6,32,2,1,0,0,2
11101,0,0,0,1,8,8,50,2,0,0,1,1
12779,1,0,0,1,17,17,85,5,2,0,0,3
11503,0,1,3,2,50,44,273,9,8,0,18,2
11926,0,0,0,1,38,34,195,15,7,2,2,2
3628,0,0,0,1,14,14,74,3,0,0,0,4
12159,0,0,0,1,55,46,257,23,6,0,4,7
4584,0,0,0,2,22,20,111,10,10,0,0,2
2306,0,0,0,1,18,17,91,9,3,0,0,1
5398,0,0,0,1,12,12,64,3,3,0,1,2
2374,1,0,0,3,18,15,95,7,0,0,0,1
4612,0,1,6,1,20,20,140,4,2,0,3,2
10068,0,0,0,2,38,32,205,9,6,0,1,5
3964,0,0,0,1,9,9,60,1,0,0,0,2
5703,0,0,0,2,4,3,30,0,2,0,0,1
5135,0,0,0,1,10,10,50,4,1,0,0,4
6513,0,0,0,2,21,19,109,5,3,0,1,7
8539,0,0,1,10,31,22,193,9,6,0,1,1
167,0,0,0,1,46,39,253,21,5,0,1,7
9513,0,0,0,3,40,33,182,13,4,1,1,4
4904,0,0,0,5,62,47,319,23,16,0,2,6
9448,0,1,11,2,32,28,189,6,4,0,1,9
6553,0,0,0,50,68,15,403,12,1,0,0,0
9691,0,0,0,11,24,13,125,5,2,0,0,3
8904,0,0,0,1,25,24,144,5,3,0,0,5
12729,0,0,2,1,5,5,36,0,2,0,0,2
9673,0,1,0,0,19,18,100,10,8,0,0,0
5007,0,0,0,1,10,10,55,4,1,0,0,1
44,0,0,0,2,17,16,86,4,5,0,1,6
8908,2,1,0,3,16,14,85,5,6,0,1,3
7779,0,0,0,2,8,7,58,1,8,0,0,2
3756,0,0,0,1,41,40,231,16,6,0,2,4
474,0,0,0,1,11,10,54,2,0,0,2,2
11541,0,0,0,2,17,15,78,6,1,0,0,2
5013,0,0,0,1,7,7,42,1,0,0,0,0
8489,0,0,1,1,21,21,110,7,2,0,2,2
10416,0,2,4,0,32,31,237,10,5,0,2,6
9946,0,0,0,2,18,17,109,6,1,0,0,0
7641,0,0,0,17,23,7,130,2,1,0,0,2
11459,0,0,0,1,33,33,195,13,5,0,0,8
3779,0,0,0,11,20,10,115,2,1,0,0,1
13199,0,0,0,1,11,11,57,2,2,0,1,2
5400,1,0,0,2,52,39,285,25,7,0,0,2
3397,0,0,0,1,7,7,37,2,1,0,0,1
1927,0,1,0,1,52,45,263,22,7,0,0,3
7424,17,0,0,1,9,9,58,0,0,0,7,0
8155,0,1,0,0,23,22,144,10,5,0,0,0
11066,0,0,0,1,26,21,149,13,4,0,0,2
10826,0,0,1,2,25,23,134,7,4,2,1,1
257,0,0,0,1,4,4,19,1,1,0,0,1
5214,0,0,0,5,28,22,145,10,3,0,0,1
9992,0,0,0,5,11,7,54,3,1,0,0,2
6880,0,0,0,1,7,7,31,2,2,0,0,2
6258,2,0,0,1,44,39,250,16,4,0,3,4
10016,0,0,0,4,30,26,150,11,4,0,0,2
4006,0,0,0,1,22,20,112,5,4,0,0,6
8823,0,1,2,42,49,8,294,2,0,0,0,3
13179,0,0,1,4,17,14,114,3,1,0,0,1
6572,0,0,0,1,4,4,19,0,0,0,1,1
8493,0,0,0,2,17,15,94,5,10,2,1,0
150,1,0,0,1,6,6,27,2,0,0,0,1
7270,0,0,0,2,4,3,26,0,1,0,0,1
4482,2,0,0,1,14,14,59,3,2,0,1,3
6864,0,0,0,2,16,15,71,8,0,0,0,2
5460,0,1,1,0,40,10,80,1,3,0,1,1
9504,0,0,0,2,9,8,37,1,0,1,0,0
8247,0,0,0,3,12,10,59,3,1,1,0,1
10000,0,0,0,2,7,6,47,1,1,0,0,1
5676,0,1,0,0,10,10,68,4,1,0,1,1
8973,0,0,1,2,49,36,249,19,5,0,0,10
10952,0,0,0,1,9,7,35,6,1,0,0,1
616,0,0,0,1,18,16,94,7,5,0,0,2
12504,12,0,0,1,16,14,77,5,1,0,2,2
9168,0,0,0,2,49,35,220,28,1,0,1,2
7841,0,1,2,0,13,12,78,6,2,0,0,1
12648,0,0,0,1,27,26,159,10,2,0,0,1
2556,0,0,0,2,13,12,78,4,2,0,1,3
4149,0,0,0,1,11,10,40,4,0,0,2,1
8682,0,0,0,2,24,20,143,4,2,0,1,3
11616,1,0,0,3,42,35,230,17,14,0,3,3
5547,0,0,0,2,41,34,214,17,2,2,0,4
442,0,0,0,1,6,6,26,2,0,0,1,1
381,0,0,0,2,6,5,37,1,0,0,0,2
1286,0,0,0,2,11,10,53,4,1,0,0,1
9555,0,0,0,1,6,6,36,2,1,0,0,1
2544,0,1,1,0,69,30,273,2,9,4,7,26
2970,0,0,0,1,13,13,60,7,1,0,1,1
732,0,0,0,4,47,42,235,19,5,0,0,10
5076,0,0,0,1,8,8,52,0,2,0,1,6
1682,0,0,0,2,16,15,105,6,2,0,0,2
12654,0,0,0,1,6,6,29,2,0,0,0,1
6178,0,0,0,1,12,12,63,3,5,0,0,1
1466,0,0,1,0,11,11,95,2,11,0,0,2
7931,0,0,0,4,33,27,180,14,2,0,0,4
1031,0,0,0,2,7,6,36,0,1,0,0,2
3499,0,0,0,2,48,43,239,17,13,0,2,6
4100,3,1,0,1,34,32,176,15,1,0,1,3
7773,2,1,21,1,30,30,278,1,1,0,5,8
4218,0,0,0,3,17,15,87,7,1,0,0,2
2173,0,0,0,1,39,32,195,18,4,0,0,2
1578,0,0,0,1,18,17,97,6,5,0,0,4
13185,0,0,2,1,22,19,115,9,2,0,1,3
12253,0,0,0,1,18,16,93,9,1,0,0,3
10077,0,0,0,2,23,21,111,8,4,1,1,4
8224,0,0,0,2,9,8,54,1,6,0,1,2
6116,0,1,4,0,16,16,85,2,0,0,1,7
6710,3,0,0,1,5,5,19,1,0,1,0,1
12365,0,0,0,1,46,40,243,18,3,0,0,5
6313,0,0,2,1,14,14,63,4,1,0,2,2
12646,0,0,3,2,8,7,62,0,1,0,0,3
9256,0,0,0,1,10,10,56,4,1,0,0,1
4403,0,0,0,1,6,6,28,3,1,0,0,0
688,0,0,0,2,37,28,194,16,0,0,0,5
4666,0,0,0,1,18,18,90,7,0,0,0,0
4825,0,0,1,0,51,43,280,25,6,0,2,5
5705,0,0,1,1,12,12,69,2,3,0,1,2
10477,0,0,0,1,47,39,263,11,5,0,0,5
5653,0,0,0,1,41,38,222,22,8,0,0,0
66,0,1,3,3,19,16,133,2,4,0,0,2
10652,0,0,0,1,7,7,34,3,0,0,0,0
3207,0,0,0,1,5,5,28,2,0,0,0,0
1542,0,0,0,2,21,18,110,8,12,0,0,4
12414,0,0,0,2,7,6,49,1,3,0,0,2
1962,0,0,0,3,16,14,108,3,2,0,0,2
7408,2,0,0,1,24,20,128,9,12,0,2,3
8291,0,0,1,2,22,19,132,8,1,0,0,2
724,0,1,0,1,9,9,42,2,2,0,0,3
9272,0,0,0,1,3,3,13,0,0,0,0,1
1532,0,0,0,4,10,7,50,2,0,0,0,1
12005,0,0,0,1,19,17,93,10,1,0,1,3
12927,0,0,0,3,11,9,55,5,0,0,0,1
12493,0,0,0,1,11,11,59,3,2,0,0,2
2907,0,1,0,1,7,7,46,0,2,0,5,0
11228,0,1,0,49,56,7,321,0,1,0,0,3
5677,0,0,0,1,15,15,66,7,1,0,1,1
8919,3,1,1,1,28,26,133,12,6,0,3,3
2661,0,0,0,1,13,13,60,5,0,0,1,1
6337,0,0,0,1,6,6,32,2,1,0,0,2
5862,1,0,5,1,20,20,143,4,5,0,2,3
10292,0,0,0,1,28,27,153,10,2,0,0,4
8625,0,1,0,1,8,8,38,2,1,0,0,3
9521,1,0,0,6,28,21,129,7,5,0,3,3
5761,0,0,0,3,24,19,152,6,16,0,0,2
12511,0,0,0,2,25,24,127,10,2,0,0,3
11393,0,0,0,10,25,15,146,7,0,0,0,2
5303,0,0,0,1,10,10,51,4,2,0,0,3
11287,0,0,0,0,17,17,97,3,2,1,2,4
1906,0,0,0,1,32,30,162,13,3,0,2,4
4517,0,0,0,1,38,36,286,10,4,0,0,4
7140,0,1,0,2,18,17,107,7,1,0,0,2
2394,0,0,0,1,34,32,180,12,4,0,1,3
618,0,0,0,1,51,46,265,27,4,0,1,4
5688,0,0,1,3,10,8,53,2,1,0,0,3
10252,0,0,1,4,44,36,245,17,9,0,0,4
5709,0,0,0,1,17,15,90,5,7,0,2,2
7858,0,0,0,1,29,27,129,12,2,1,0,3
11268,0,0,0,1,5,5,20,2,3,0,0,0
4646,0,0,0,1,7,7,38,2,1,0,0,2
978,0,1,6,0,23,22,190,2,4,0,1,4
12127,0,0,1,1,39,37,223,15,4,0,0,4
5070,3,1,3,0,9,8,60,0,3,0,1,1
3323,0,0,0,2,27,26,148,10,1,0,1,1
3359,0,0,0,1,17,16,78,8,1,0,0,0
11259,0,1,0,3,19,15,109,6,2,0,1,1
12840,0,0,0,2,40,35,215,16,9,0,2,3
4229,0,0,0,1,11,11,58,3,1,0,0,2
8057,0,0,0,1,25,21,144,11,5,0,0,1
3193,0,0,0,1,25,24,129,8,6,0,2,4
6,0,0,0,2,6,5,32,0,2,0,0,2
6033,0,0,0,1,25,22,122,12,3,0,1,5
11818,1,0,0,1,17,17,91,7,2,0,0,0
6805,0,0,0,2,19,16,95,4,4,2,1,2
4848,0,0,0,1,13,13,73,6,4,0,0,2
3856,2,0,0,1,28,28,140,10,4,0,1,4
10405,0,0,0,1,18,15,85,7,1,0,0,2
12900,2,0,0,1,13,12,56,5,0,0,2,2
976,0,0,0,0,8,8,39,0,3,0,0,3
3486,0,0,0,2,20,18,103,11,0,0,1,1
2151,0,0,0,1,7,7,30,3,2,0,1,1
9089,1,1,3,1,53,47,273,24,6,0,0,8
5550,0,0,0,2,9,8,47,3,1,0,0,1
4480,0,0,0,1,11,11,59,3,1,0,2,2
1493,0,0,0,1,16,14,85,7,2,0,0,2
2833,0,0,0,1,3,3,16,0,3,0,0,1
9692,0,0,0,7,50,40,290,13,15,0,0,8
11401,0,0,0,1,6,6,41,0,0,0,0,1
2499,0,0,0,1,37,32,207,13,8,1,0,6
589,0,0,0,1,13,12,66,4,3,0,0,3
10687,0,1,3,2,23,20,135,4,7,0,1,4
12515,0,1,1,2,23,21,139,5,6,0,5,3
987,0,0,0,1,38,36,212,10,5,0,0,7
9520,0,0,1,1,6,6,33,1,2,0,0,2
9751,0,0,0,2,19,17,108,4,7,0,4,1
4815,3,0,0,2,59,44,283,6,10,0,2,21
8759,0,0,0,2,16,14,109,6,2,0,0,3
2411,1,0,0,4,39,29,201,14,3,0,0,3
11166,0,0,0,2,12,11,62,3,3,0,0,1
10100,0,0,0,2,59,57,292,22,9,1,6,3
10923,0,0,1,2,47,38,229,12,9,0,1,8
