,epoch,loss,accuracy,recall,precision,f1
0,0,0.47,0.77,[0.89 0.55],[0.8  0.67],[0.83 0.58]
1,1,0.35,0.85,[0.9  0.75],[0.88 0.8 ],[0.89 0.76]
2,2,0.21,0.92,[0.95 0.86],[0.94 0.88],[0.94 0.86]
3,3,0.11,0.96,[0.97 0.95],[0.97 0.95],[0.97 0.94]
4,4,0.07,0.98,[0.98 0.97],[0.98 0.97],[0.98 0.97]
5,5,0.05,0.98,[0.99 0.98],[0.99 0.98],[0.99 0.98]
6,6,0.03,0.99,[0.99 0.99],[0.99 0.98],[0.99 0.98]
7,7,0.03,0.99,[0.99 0.98],[0.99 0.99],[0.99 0.98]
8,8,0.04,0.99,[0.99 0.98],[0.99 0.98],[0.99 0.98]
9,9,0.02,0.99,[0.99 0.99],[0.99 0.99],[0.99 0.99]
