,epoch,loss,accuracy,recall,precision,f1
0,0,0.57,0.71,[0.95 0.23],[0.72 0.41],[0.81 0.28]
1,1,0.49,0.77,[0.9 0.5],[0.79 0.71],[0.84 0.57]
2,2,0.47,0.78,[0.9  0.54],[0.8  0.73],[0.85 0.61]
3,3,0.45,0.79,[0.9  0.56],[0.81 0.74],[0.85 0.62]
4,4,0.44,0.8,[0.9  0.58],[0.81 0.74],[0.85 0.64]
5,5,0.43,0.8,[0.9  0.59],[0.82 0.75],[0.86 0.65]
6,6,0.43,0.81,[0.9  0.61],[0.83 0.75],[0.86 0.66]
7,7,0.42,0.81,[0.9  0.62],[0.83 0.76],[0.86 0.67]
8,8,0.41,0.82,[0.9  0.64],[0.84 0.77],[0.87 0.68]
9,9,0.4,0.82,[0.91 0.65],[0.84 0.77],[0.87 0.69]
10,10,0.39,0.83,[0.91 0.67],[0.85 0.78],[0.87 0.71]
11,11,0.38,0.83,[0.91 0.68],[0.85 0.78],[0.88 0.72]
12,12,0.37,0.84,[0.91 0.7 ],[0.86 0.79],[0.88 0.73]
13,13,0.35,0.85,[0.91 0.72],[0.87 0.8 ],[0.89 0.75]
14,14,0.34,0.86,[0.92 0.73],[0.88 0.81],[0.89 0.76]
15,15,0.33,0.86,[0.92 0.75],[0.88 0.82],[0.9  0.78]
16,16,0.31,0.87,[0.92 0.76],[0.89 0.83],[0.9  0.79]
17,17,0.3,0.88,[0.93 0.78],[0.9  0.84],[0.91 0.8 ]
18,18,0.29,0.89,[0.93 0.79],[0.9  0.85],[0.91 0.81]
19,19,0.27,0.89,[0.94 0.81],[0.91 0.86],[0.92 0.83]
20,20,0.26,0.9,[0.94 0.82],[0.91 0.87],[0.93 0.84]
21,21,0.25,0.91,[0.94 0.83],[0.92 0.88],[0.93 0.85]
22,22,0.23,0.91,[0.95 0.84],[0.92 0.89],[0.93 0.86]
